date,title,body,url,image,source,ticker
2025-02-24 00:00:00+00:00,The biggest crypto heist ever: $1.5 billion stolen from Bybit cryptocurrency exchange,Crypto exchange Bybit had $1.5 billion stolen from its cryptocurrency wallet. Credit: Jaque Silva / NurPhoto via Getty Images That's the amount of money that has just been stolen by hackers from ...,https://mashable.com/article/bybit-largest-cryptocurrency-heist-crypto-hacker,,Mashable,
2025-02-24 00:00:00+00:00,They Just Want to Take Your Money,"Remember Hawk Tuah coin? Hopefully, you do not. But the cryptocurrency launched late last year by viral phenom Hailey Welch was a perfect example of how so-called meme coins often work ...",https://nymag.com/intelligencer/article/dave-portnoy-kanye-meme-coin-rug-pull.html,,New York Magazine,
2025-02-24 00:00:00+00:00,Hackers reportedly stole $2.4 billion from cryptocurrency exchange platform Bybit. Here's what we know,"Major cryptocurrency exchange platform Bybit was hacked over the weekend to the tune of $1.5 billion in digital assets, in what's estimated to be the largest cryptocurrency heist in history.",https://www.abc.net.au/news/2025-02-24/bybit-cryptocurrency-hack-what-we-know/104974512,,Australian Broadcasting Corporation,
2025-02-24 15:41:00+00:00,How North Korea pulled off a $1.5 billion crypto heist—the biggest in history,"The cryptocurrency industry and those responsible for securing it are still in shock following Friday's heist, likely by North Korea, that drained $1.5 billion from Dubai-based exchange Bybit ...",https://arstechnica.com/security/2025/02/how-north-korea-pulled-off-a-1-5-billion-crypto-heist-the-biggest-in-history/,,Ars Technica,
2025-02-24 19:20:00+00:00,Argentina's $4.6 Billion Crypto Scandal; Largest-Ever Crypto Theft,"Argentine President Javier Milei is in hot water after his brief foray into crypto that left the opposition calling for his impeachment and a judge launching a fraud probe. On February 14, Milei ...",https://www.forbes.com/sites/digital-assets/2025/02/24/argentinas-46-billion-crypto-scandal-largest-ever-crypto-theft/,,Forbes,
2025-02-25 00:00:00+00:00,Bitcoin risks free fall to $81K if BTC loses $85K support — Analysts,"Bitcoin's price may decline further, with analysts warning of a potential drop to $81,000 amid ongoing exchange-traded fund (ETF) outflows and market uncertainty. Bitcoin (BTC) fell to a three ...",https://cointelegraph.com/news/bitcoin-risks-free-fall-81k-btc-loses-85k-support-analysts,,CoinTelegraph,BTC
2025-02-25 00:00:00+00:00,Bitcoin price plunge to $87K 'not unexpected' after Bybit hack: Expert,"Bitcoin is currently trading at a price of $87,261, a dramatic reversal for the world's largest cryptocurrency that some predicted would hit $1 million later this year. ""The brutal sell-off ...",https://www.thestreet.com/crypto/markets/bitcoin-price-plunge-not-unexpected-after-bybit-hack-expert,,TheStreet.com,
2025-02-25 00:00:00+00:00,"Bitcoin drops below $90,000 as global jitters combine with Bybit hack","LONDON, Feb 25 (Reuters) - Bitcoin dropped below $90,000 to its lowest since November 18 on Tuesday, as market nerves over U.S. tariffs reinforced the blow to crypto investor confidence from last ...",https://www.reuters.com/markets/currencies/bitcoin-falls-below-9000-first-time-month-ether-tumbles-2025-02-25/,,Reuters,BTC
2025-02-25 03:10:00+00:00,Best Cryptocurrency of March 2025,"You can find her jogging through Austin, TX, or playing tourist in her free time. Cryptocurrency has become increasingly popular in recent years, going from being a relatively unknown asset to one ...",https://www.newsweek.com/vault/investing/best-cryptocurrencies/,,Newsweek,
2025-02-25 05:45:00+00:00,Better Cryptocurrency to Buy and Hold for 10 Years: Bitcoin vs. Cardano,"In the U.S., there's even a proposal for it to be the biggest holding in a hypothetical national cryptocurrency repository. That would represent perhaps the final frontier of mainstream acceptance ...",https://finance.yahoo.com/news/better-cryptocurrency-buy-hold-10-104500616.html,,Yahoo Finance,
